6649, 5936, 3182
7246, 3980, 18518
18518, 3980, 7246
5974, 10502, 3147
3147, 5974, 10502
3916, 1822, 1823
27224, 7865, 2586
27224, 7865, 2586
8812, 5936, 6649
10347, 6032, 7264
13856, 5241, 6369
13856, 6369, 5241
3844, 1762, 2408
1940, 4052, 12927
12927, 1940, 4052
9949, 3370, 7297
793, 1361, 3130
20594, 2981, 2997
2981, 2997, 20594
6012, 3954, 1371
6032, 5441, 7264
4704, 3296, 1839
3980, 7645, 2019
19928, 24050, 14111
19928, 24050, 14111
11880, 8084, 1500
1339, 5485, 20607
5485, 1339, 20607
18257, 3575, 4412
20510, 10591, 11701
11112, 29972, 15295
4418, 1091, 13380
26656, 2408, 5483
5932, 5882, 16568
17801, 5507, 3643
17801, 3643, 5507
16471, 14834, 17365
2475, 9248, 2472
9248, 2472, 2475
13922, 31013, 31594
13922, 31013, 31594
31594, 13922, 31013
31594, 31013, 13922
15440, 20013, 24845
15440, 24845, 20013
10084, 3693, 5462
10084, 3693, 5462
1657, 17082, 12326
20785, 2548, 1726
20785, 2548, 1726
16800, 5527, 8472
16800, 8472, 5527
5527, 8472, 16800
8472, 16800, 5527
2737, 595, 12022
12293, 18084, 5147
19889, 452, 10316
3097, 7146, 7729
3097, 7146, 7729
3767, 17230, 30479
29101, 3991, 9850
21826, 93, 12335
3643, 10640, 847
12450, 6459, 9126
3573, 285, 30867
14352, 14489, 7149
1276, 3070, 1269
4713, 1468, 3249
1468, 3249, 4713
3249, 4713, 1468
3249, 4713, 1468
7880, 18160, 13757
18160, 13757, 7880
11073, 2506, 9097
5953, 13049, 18348
14626, 3607, 10057
10057, 14626, 3607
10057, 14626, 3607
12293, 5147, 7148
23545, 11416, 2372
11416, 23545, 2372
11204, 1073, 9096
877, 220, 356
220, 356, 877
1877, 773, 15437
1266, 28316, 863
452, 16276, 7324
6814, 772, 11294
772, 6814, 11294
25397, 14489, 31834
15073, 17869, 11122
14768, 31393, 30508
31393, 30508, 14768
19033, 26507, 7486
26414, 28702, 29757
29757, 26414, 28702
1940, 218, 5756
14465, 29473, 8324
754, 3580, 6272
754, 3580, 6272
11880, 11659, 12204
7234, 1091, 1630
2874, 18908, 12069
2874, 18908, 12069
9397, 5811, 3862
29752, 31113, 7882
31113, 7882, 29752
24460, 12181, 6172
30029, 8220, 21780
18123, 24180, 22999
18123, 24180, 22999
31182, 26294, 8351
26294, 31182, 8351
487, 3246, 4305
11904, 18084, 598
16522, 10941, 27403
792, 7234, 469
8513, 17866, 20190
8513, 17866, 20190
8513, 17866, 20190
9090, 9178, 26507
8456, 483, 22131
483, 8456, 22131
8456, 483, 22131
8456, 483, 22131
21761, 2548, 4777
14804, 2118, 3179
3179, 14804, 2118
3179, 14804, 2118
9008, 1590, 10060
1590, 9008, 10060
9008, 10060, 1590
9008, 10060, 1590
4418, 7203, 13380
3506, 2060, 22992
13549, 18084, 11904
6138, 4434, 3777
13732, 31834, 29196
8348, 1926, 9126
10826, 4653, 8743
10826, 4653, 8743
9483, 9484, 5955
7888, 7251, 14139
6896, 3370, 2670
3370, 2670, 6896
30707, 11660, 26415
20879, 8160, 20938
8160, 20938, 20879
