727, 3147, 5974, 10502
3130, 5139, 16996, 2674
353, 1762, 16915, 9095
5441, 6032, 7264, 10347
6032, 5441, 10347, 7264
18257, 4412, 2652, 3575
12927, 4052, 1940, 218
6200, 321, 1922, 11119
321, 1922, 11119, 6200
11112, 15295, 26471, 29972
11112, 15295, 29972, 26471
26656, 14884, 23197, 11862
7297, 15380, 9949, 20497
4305, 3916, 3246, 487
487, 3916, 3246, 4305
4843, 30479, 1839, 3767
3844, 3269, 7718, 23079
29639, 25002, 32334, 8795
7148, 5147, 18084, 12293
14352, 14489, 25397, 7149
32263, 93, 3094, 12335
792, 7234, 469, 63
16276, 4465, 7324, 2910
5936, 14465, 8812, 14069
12450, 16178, 6459, 9126
19033, 26507, 26588, 7486
26414, 29757, 28702, 26415
2408, 5163, 5483, 7420
5080, 11904, 598, 13549
17365, 13802, 24460, 12181
14069, 29473, 8324, 14465
4666, 4684, 11383, 16375
4666, 4684, 11383, 16375
7888, 14139, 7251, 23975
13120, 23440, 24908, 26690
13120, 26690, 24908, 23440
5080, 23656, 11904, 598
8160, 20938, 5342, 20879
10610, 8348, 27933, 1926
13574, 3000, 17854, 19598
29169, 32250, 29950, 27927
1041, 29257, 29350, 32087
140, 4884, 14758, 11967
29905, 31474, 219, 25095
13380, 11119, 6200, 1922, 321
32431, 20252, 28810, 18004, 31413
7989, 19433, 25113, 18765, 18929
2704, 4450, 5591, 5724, 1463, 7209
8084, 11702, 11880, 6649, 1500, 3182
5280, 29473, 2704, 8324, 16005, 7209
9248, 8433, 6555, 2472, 2475, 10460
2372, 8810, 11416, 15380, 20497, 23545
12819, 12947, 15684, 19557, 21023, 26960
3844, 793, 7718, 9677, 595, 353, 1762
4450, 5591, 7209, 2704, 16178, 1463, 5724
219, 2704, 4450, 5591, 5724, 16178, 1463, 5280, 7209
598, 5080, 5147, 7148, 11904, 12293, 13549, 18084, 18413, 23656
